DSP,Layer type,Filters,Latency (s),Consumption (J)
2,GroupConv,8,0.04894000000000011,0.003364395318603516
2,ShiftConv,8,0.01848399999999988,0.0012396653228759766
2,Conv,8,0.05992800000000001,0.004201030014038086
2,DepthwiseConv,8,0.04710199999999998,0.0033893216583251954
2,GroupConv,32,0.13250800000000004,0.009291635513305667
2,ShiftConv,32,0.04332999999999995,0.0029882373138427737
2,Conv,32,0.21103000000000016,0.015438553308105474
2,DepthwiseConv,32,0.07271199999999997,0.0053166508666992185
2,GroupConv,16,0.0738660000000001,0.005065441589355469
2,ShiftConv,16,0.026040000000000094,0.0017603619781494137
2,Conv,16,0.10964800000000005,0.007516580035400391
2,DepthwiseConv,16,0.05696200000000001,0.004132091757202149
2,GroupConv,4,0.03592000000000003,0.002453401657104492
2,ShiftConv,4,0.014524000000000042,0.0009205373565673829
2,Conv,4,0.035964000000000065,0.002537513287353516
2,DepthwiseConv,4,0.04305400000000003,0.003047088656616211
0,GroupConv,8,0.22488,0.013081345925903315
0,ShiftConv,8,0.07263399999999981,0.003859999566650391
0,Conv,8,0.4131899999999996,0.02462788096618652
0,DepthwiseConv,8,0.17029,0.010140532818603516
0,AddConv,8,0.4256239999999998,0.02373130828857422
0,GroupConv,32,0.9470860000000003,0.056446321847534155
0,ShiftConv,32,0.28764600000000007,0.017099356356811524
0,Conv,32,1.666270000000001,0.1016970873413085
0,DepthwiseConv,32,0.35190199999999955,0.021576150173950193
0,AddConv,32,1.7838840000000011,0.10884091300048826
0,GroupConv,16,0.4483340000000001,0.02627166657714843
0,ShiftConv,16,0.14073200000000013,0.007652568878173829
0,Conv,16,0.8095560000000005,0.04735198238525391
0,DepthwiseConv,16,0.2253739999999999,0.013761952597045903
0,AddConv,16,0.8499899999999996,0.048034235430908206
0,GroupConv,4,0.1153159999999999,0.006732933462524412
0,ShiftConv,4,0.03675200000000005,0.0019454538299560544
0,Conv,4,0.20724799999999988,0.0126658060546875
0,DepthwiseConv,4,0.13719200000000015,0.008377583953857425
0,AddConv,4,0.21354400000000007,0.01179978395690918
1,GroupConv,8,0.08038199999999993,0.004384723434448241
1,ShiftConv,8,0.026424000000000072,0.0015620265197753905
1,Conv,8,0.14150599999999997,0.008658477923583985
1,DepthwiseConv,8,0.057237999999999865,0.0036204422058105467
1,AddConv,8,0.19087600000000016,0.011760181137084958
1,GroupConv,32,0.2647860000000001,0.013832741061401373
1,ShiftConv,32,0.07873199999999975,0.004347076867675781
1,Conv,32,0.5433600000000002,0.03221341899719237
1,DepthwiseConv,32,0.11190800000000008,0.006639435845947266
1,AddConv,32,0.7406759999999999,0.045264047470092786
1,GroupConv,16,0.13872199999999998,0.007554252584838868
1,ShiftConv,16,0.042912000000000124,0.002482454507446289
1,Conv,16,0.26961199999999974,0.016421470211791994
1,DepthwiseConv,16,0.077696,0.004884114303588869
1,AddConv,16,0.367582,0.0226515003112793
1,GroupConv,4,0.05115200000000005,0.002788575128173828
1,ShiftConv,4,0.017980000000000038,0.0010667273162841796
1,Conv,4,0.07785399999999992,0.0047416748107910155
1,DepthwiseConv,4,0.048966000000000044,0.0031468529296875005
1,AddConv,4,0.10246799999999975,0.006353272732543947
