DSP,Groups,Latency (s),Consumption (J)
2.0,32.0,0.04124399999999988,0.0025946393005371092
2.0,16.0,0.03950200000000003,0.002686370700073243
2.0,2.0,0.1565200000000003,0.010383686260986331
2.0,8.0,0.051502,0.003436326013183594
2.0,1.0,0.30728600000000006,0.02013198525695801
2.0,4.0,0.08512000000000004,0.005670613732910156
0.0,32.0,0.10093,0.005210271084594728
0.0,16.0,0.16125199999999984,0.008299053359985353
0.0,2.0,1.058308,0.05572777484436035
0.0,8.0,0.2932500000000003,0.015418297906494148
0.0,1.0,2.0782819999999984,0.10913139981079115
0.0,4.0,0.5482920000000001,0.028812960140991203
1.0,32.0,0.04991400000000004,0.002961827444458008
1.0,16.0,0.06318400000000007,0.003850994860839844
1.0,2.0,0.35949599999999976,0.021729281231689455
1.0,8.0,0.10238600000000016,0.006227266369628907
1.0,1.0,0.7062600000000007,0.04235776421813966
1.0,4.0,0.187002,0.011340869348144529
