DSP,Layer type,Kernel size,Latency (s),Consumption (J)
2,GroupConv,7,0.3812000000000003,0.025212324581909182
2,Conv,7,0.5567759999999997,0.036013561047363286
2,DepthwiseConv,7,0.20645799999999986,0.01320212292480469
2,GroupConv,11,0.9417820000000005,0.06284674707641603
2,Conv,11,1.4139700000000013,0.09128502317504886
2,DepthwiseConv,11,0.4746659999999999,0.03011417557983399
2,GroupConv,5,0.19347400000000006,0.012742179180908203
2,Conv,5,0.2857980000000001,0.018540775167846676
2,DepthwiseConv,5,0.11684000000000001,0.007667507904052736
2,GroupConv,9,0.6287559999999999,0.04194051140441893
2,Conv,9,0.9414079999999998,0.060634182778930644
2,DepthwiseConv,9,0.32563199999999987,0.020720802923583977
2,GroupConv,3,0.07519599999999999,0.005286809573364259
2,Conv,3,0.10962800000000004,0.007214904364013672
2,DepthwiseConv,3,0.05701199999999998,0.00393896572265625
2,GroupConv,1,0.015238000000000107,0.0010609314697265625
2,ShiftConv,1,0.026207999999999884,0.0016324837554931642
2,Conv,1,0.019072000000000013,0.001382851867675781
2,DepthwiseConv,1,0.026529999999999943,0.001879792007446289
0,GroupConv,7,2.187449999999999,0.12185891369018556
0,Conv,7,4.044431999999998,0.23266754454345723
0,DepthwiseConv,7,0.4972839999999994,0.031623175708007815
0,AddConv,7,4.558663999999997,0.24946518524780253
0,GroupConv,11,4.975836000000002,0.2714301484954829
0,Conv,11,9.258289999999999,0.5322685520141593
0,DepthwiseConv,11,0.9220780000000001,0.05875675499267581
0,AddConv,11,10.483472,0.5652875693115206
0,GroupConv,5,1.1515460000000013,0.063650373110962
0,Conv,5,2.1548960000000004,0.11781678651123045
0,DepthwiseConv,5,0.3446319999999999,0.020752654751586923
0,AddConv,5,2.3051183673469375,0.12511181077918232
0,GroupConv,9,3.464643999999998,0.19181268006591806
0,Conv,9,6.4325499999999955,0.35441526994628875
0,DepthwiseConv,9,0.6953839999999997,0.042488308786010745
0,AddConv,9,7.140348,0.38594571210937595
0,GroupConv,3,0.457754,0.02510033677368164
0,Conv,3,0.8263259999999997,0.04599931834716798
0,DepthwiseConv,3,0.23020800000000008,0.013136686486816406
0,AddConv,3,0.8677379999999999,0.047134133843994126
0,GroupConv,1,0.07719600000000008,0.00421200758972168
0,ShiftConv,1,0.14385400000000007,0.007299432824707031
0,Conv,1,0.12134799999999987,0.006729593380737305
0,DepthwiseConv,1,0.1623980000000001,0.008774748742675783
0,AddConv,1,0.1265460000000001,0.007726276766967772
1,GroupConv,7,0.7149419999999997,0.038820635833740263
1,Conv,7,1.4345460000000003,0.0876387006225585
1,DepthwiseConv,7,0.23107400000000028,0.015548201568603513
1,AddConv,7,1.9315560000000003,0.11863910364990224
1,GroupConv,11,1.7559500000000008,0.09522344366455085
1,Conv,11,3.540248000000001,0.2165848873901367
1,DepthwiseConv,11,0.5060800000000001,0.03585578231506348
1,AddConv,11,4.752328000000003,0.2919922225067139
1,GroupConv,5,0.36917399999999995,0.020087883609008796
1,Conv,5,0.7351220000000004,0.04471203465270995
1,DepthwiseConv,5,0.13915799999999995,0.009038901315307619
1,AddConv,5,0.9926359999999996,0.06106968942260739
1,GroupConv,9,1.1773080000000002,0.06396826720275879
1,Conv,9,2.368925999999999,0.144267570437622
1,DepthwiseConv,9,0.35308799999999996,0.024980384976196292
1,AddConv,9,3.183459999999999,0.1956111974945064
1,GroupConv,3,0.135962,0.007429057525634766
1,Conv,3,0.26918200000000014,0.01653036809692383
1,DepthwiseConv,3,0.07754599999999996,0.004885475875854493
1,AddConv,3,0.3673399999999999,0.02263921987609863
1,GroupConv,1,0.022937999999999972,0.001374873779296875
1,ShiftConv,1,0.04300600000000012,0.0024774889984130856
1,Conv,1,0.036421999999999864,0.002070202450561523
1,DepthwiseConv,1,0.046074000000000004,0.0026436757415771494
1,AddConv,1,0.05485000000000012,0.0034884596282958986
